"ID","Cluster"
"1","2"
"2","2"
"3","2"
"4","2"
"5","2"
"6","2"
"7","2"
"8","2"
"9","2"
"10","2"
"11","2"
"12","2"
"13","2"
"14","2"
"15","2"
"16","2"
"17","2"
"18","2"
"19","2"
"20","2"
"21","2"
"22","2"
"23","2"
"24","2"
"25","2"
"26","2"
"27","2"
"28","2"
"29","2"
"30","2"
"31","2"
"32","2"
"33","2"
"34","2"
"35","2"
"36","2"
"37","2"
"38","2"
"39","2"
"40","2"
"41","2"
"42","2"
"43","2"
"44","2"
"45","2"
"46","2"
"47","2"
"48","2"
"49","2"
"50","2"
"51","2"
"52","2"
"53","2"
"54","2"
"55","2"
"56","2"
"57","2"
"58","2"
"59","2"
"60","2"
"61","2"
"62","2"
"63","2"
"64","2"
"65","2"
"66","2"
"67","2"
"68","2"
"69","2"
"70","2"
"71","2"
"72","2"
"73","2"
"74","2"
"75","2"
"76","2"
"77","2"
"78","2"
"79","2"
"80","2"
"81","2"
"82","2"
"83","2"
"84","2"
"85","2"
"86","2"
"87","2"
"88","2"
"89","2"
"90","2"
"91","2"
"92","2"
"93","2"
"94","2"
"95","2"
"96","2"
"97","2"
"98","2"
"99","2"
"100","2"
"101","2"
"102","2"
"103","2"
"104","2"
"105","2"
"106","2"
"107","2"
"108","2"
"109","2"
"110","2"
"111","2"
"112","2"
"113","2"
"114","2"
"115","2"
"116","2"
"117","2"
"118","2"
"119","2"
"120","2"
"121","2"
"122","2"
"123","2"
"124","2"
"125","2"
"126","2"
"127","2"
"128","2"
"129","2"
"130","2"
"131","2"
"132","2"
"133","2"
"134","2"
"135","2"
"136","2"
"137","2"
"138","2"
"139","4"
"140","1"
"141","1"
"142","1"
"143","3"
"144","1"
"145","4"
"146","1"
"147","4"
"148","4"
"149","4"
"150","1"
"151","3"
"152","3"
"153","1"
"154","1"
"155","1"
"156","1"
"157","4"
"158","3"
"159","1"
"160","1"
"161","4"
"162","1"
"163","3"
"164","1"
"165","3"
"166","4"
"167","4"
"168","4"
"169","1"
"170","3"
"171","1"
"172","4"
"173","1"
"174","1"
"175","1"
"176","1"
"177","4"
"178","4"
"179","3"
"180","1"
"181","1"
"182","3"
"183","1"
"184","3"
"185","4"
"186","3"
"187","3"
"188","1"
"189","3"
"190","3"
"191","1"
"192","3"
"193","3"
"194","4"
"195","1"
"196","4"
"197","4"
"198","4"
"199","1"
"200","1"
"201","3"
"202","3"
"203","3"
"204","1"
"205","4"
"206","1"
"207","1"
"208","1"
"209","4"
"210","1"
"211","4"
"212","1"
"213","1"
"214","4"
"215","1"
"216","1"
"217","1"
"218","2"
"219","1"
"220","1"
"221","3"
"222","3"
"223","1"
"224","4"
"225","4"
"226","3"
"227","3"
"228","3"
"229","4"
"230","3"
"231","3"
"232","1"
"233","1"
"234","1"
"235","3"
"236","3"
"237","1"
"238","4"
"239","4"
"240","3"
"241","4"
"242","1"
"243","3"
"244","1"
"245","1"
"246","3"
"247","1"
"248","4"
"249","1"
"250","4"
"251","1"
"252","4"
"253","4"
"254","1"
"255","3"
"256","4"
"257","4"
"258","4"
"259","4"
"260","1"
"261","1"
"262","1"
"263","4"
"264","1"
"265","1"
"266","3"
"267","1"
"268","3"
"269","3"
"270","1"
"271","1"
"272","1"
"273","4"
"274","1"
"275","4"
"276","1"
"277","1"
"278","3"
"279","1"
"280","4"
"281","1"
"282","4"
"283","4"
"284","4"
"285","4"
"286","4"
"287","4"
"288","1"
"289","1"
"290","1"
"291","1"
"292","3"
"293","4"
"294","1"
"295","4"
"296","4"
"297","3"
"298","1"
"299","1"
"300","1"
